Valorant Champions 2024,Playoffs,Abyss,LEVIATÁN,12,1
Champions Tour 2024: Masters Shanghai,Playoffs,Ascent,G2 Esports,9,1
Champions Tour 2024: Americas Stage 1,Playoffs,Bind,100 Thieves,10,1
Champions Tour 2024: China Stage 1,Regular Season,Breeze,Dragon Ranger Gaming,8,1
Champions Tour 2024: Americas Stage 2,Playoffs,Haven,KRÜ Esports,10,1
Champions Tour 2024: Masters Shanghai,Playoffs,Icebox,Team Heretics,17,1
Champions Tour 2024: Pacific Stage 1,Regular Season,Lotus,T1,15,1
Champions Tour 2024: Americas Kickoff,Group Stage,Split,Sentinels,11,1
Champions Tour 2024: Masters Shanghai,Playoffs,Sunset,Team Heretics,14,1
